dataset_path,sample_id,label,source_group,split
dataset/fly_ball/Codex_Workstation/F_0101,F_0101,fly_ball,MLB_823061_ivan-herrera-lines-out-sharply-to-center-fielder-kyle-isbel-x1244,train
dataset/fly_ball/Codex_Workstation/F_0102,F_0102,fly_ball,MLB_824037_jack-kochanowicz-in-play-out-s-to-dalton-rushing,train
dataset/fly_ball/Codex_Workstation/F_0103,F_0103,fly_ball,MLB_824193_bryan-king-in-play-out-s-to-andrew-mccutchen-cngzjp,val
dataset/fly_ball/Codex_Workstation/F_0104,F_0104,fly_ball,MLB_824924_payton-tolle-in-play-out-s-to-michael-harris-ii,test
dataset/fly_ball/Codex_Workstation/F_0105,F_0105,fly_ball,MLB_824923_ceddanne-rafaela-s-leaping-catch,train
dataset/fly_ball/Codex_Workstation/F_0106,F_0106,fly_ball,MLB_823549_patrick-corbin-in-play-run-s-to-j-c-escarra,train
dataset/fly_ball/Codex_Workstation/F_0107,F_0107,fly_ball,MLB_824035_walbert-urena-in-play-out-s-to-tyler-soderstrom,train
dataset/fly_ball/Codex_Workstation/F_0108,F_0108,fly_ball,MLB_823302_tanner-scott-in-play-out-s-to-ramon-laureano-sjmzaq,train
dataset/fly_ball/Codex_Workstation/F_0109,F_0109,fly_ball,MLB_823302_griffin-canning-in-play-out-s-to-mookie-betts-5lgimx,train
dataset/fly_ball/Codex_Workstation/F_0110,F_0110,fly_ball,MLB_823866_chris-sale-in-play-run-s-to-heriberto-hernandez,test
dataset/fly_ball/Codex_Workstation/F_0111,F_0111,fly_ball,MLB_822735_andrew-alvarez-in-play-out-s-to-marcus-semien-urqe0e,train
dataset/fly_ball/Codex_Workstation/F_0112,F_0112,fly_ball,MLB_824679_ian-happ-pops-out-to-first-baseman-christian-walker,train
dataset/fly_ball/Codex_Workstation/F_0113,F_0113,fly_ball,MLB_823863_sean-manaea-in-play-out-s-to-connor-norby,val
dataset/fly_ball/Codex_Workstation/F_0114,F_0114,fly_ball,MLB_824029_zach-neto-homers-10-on-a-fly-ball-to-left-center-field-bmejcy,val
dataset/fly_ball/Codex_Workstation/F_0115,F_0115,fly_ball,MLB_823222_erick-fedde-in-play-no-out-to-matt-chapman-mt8q09,train
dataset/fly_ball/Codex_Workstation/F_0116,F_0116,fly_ball,MLB_825080_kyle-karros-flies-out-to-shortstop-geraldo-perdomo,train
dataset/fly_ball/Codex_Workstation/F_0117,F_0117,fly_ball,MLB_824840_kevin-mcgonigle-flies-out-to-shortstop-gunnar-henderson,val
dataset/fly_ball/Codex_Workstation/F_0118,F_0118,fly_ball,MLB_824840_blaze-alexander-lines-out-sharply-to-third-baseman-kevin-mcgonigle,train
dataset/fly_ball/Codex_Workstation/F_0119,F_0119,fly_ball,MLB_824759_nick-sogard-triples-1-on-a-line-drive-to-right-fielder-austin-martin,val
dataset/fly_ball/Codex_Workstation/F_0120,F_0120,fly_ball,MLB_824056_cole-young-s-rbi-triple-x7972,test
dataset/fly_ball/Codex_Workstation/F_0121,F_0121,fly_ball,MLB_825026_cristian-javier-in-play-run-s-to-tyler-soderstrom-zctsc7,test
dataset/fly_ball/Codex_Workstation/F_0123,F_0123,fly_ball,MLB_823002_matt-shaw-flies-out-sharply-to-center-fielder-cedric-mullins,val
dataset/fly_ball/Codex_Workstation/F_0124,F_0124,fly_ball,MLB_823645_eduardo-rodriguez-in-play-run-s-to-luis-robert-jr,train
dataset/fly_ball/Codex_Workstation/F_0125,F_0125,fly_ball,MLB_824535_jo-adell-lines-out-sharply-to-shortstop-elly-de-la-cruz-x7528,test
dataset/fly_ball/Codex_Workstation/F_0127,F_0127,fly_ball,MLB_824937_eury-perez-in-play-out-s-to-ronald-acuna-jr-x8261,val
dataset/fly_ball/Codex_Workstation/F_0128,F_0128,fly_ball,MLB_823278_jp-sears-in-play-out-s-to-luis-urias,test
dataset/fly_ball/Codex_Workstation/F_0129,F_0129,fly_ball,MLB_823682_nolan-schanuel-singles-on-a-line-drive-to-left-fielder-trevor-larnach,train
dataset/fly_ball/Codex_Workstation/F_0130,F_0130,fly_ball,MLB_824936_chris-paddack-in-play-run-s-to-ozzie-albies,train
dataset/fly_ball/Codex_Workstation/F_0131,F_0131,fly_ball,MLB_823162_leo-rivas-first-triple-of-the-season,train
dataset/fly_ball/Codex_Workstation/F_0132,F_0132,fly_ball,MLB_778530_jeremy-pena-s-first-home-run-of-the-season,train
dataset/fly_ball/Codex_Workstation/F_0133,F_0133,fly_ball,MLB_778533_jake-rogers-triples-1-on-a-fly-ball-to-center-fielder-andy-pages-defl,train
dataset/fly_ball/Codex_Workstation/F_0136,F_0136,fly_ball,MLB_744871_mackenzie-gore-in-play-out-s-to-bryce-harper-sms01u,train
dataset/fly_ball/Codex_Workstation/F_0138,F_0138,fly_ball,MLB_746251_chase-silseth-in-play-run-s-to-david-hamilton,test
dataset/fly_ball/Codex_Workstation/F_0140,F_0140,fly_ball,MLB_746251_guillermo-zuniga-in-play-run-s-to-ceddanne-rafaela,train
dataset/fly_ball/Codex_Workstation/F_0142,F_0142,fly_ball,MLB_746251_reese-mcguire-singles-on-a-line-drive-to-center-fielder-mike-trout-en,val
dataset/fly_ball/Codex_Workstation/F_0143,F_0143,fly_ball,MLB_746816_john-brebbia-in-play-out-s-to-marcell-ozuna,test
dataset/fly_ball/Codex_Workstation/F_0145,F_0145,fly_ball,MLB_745098_mike-clevinger-in-play-no-out-to-josh-lowe,test
dataset/fly_ball/Codex_Workstation/F_0148,F_0148,fly_ball,MLB_745910_max-kepler-homers-3-on-a-fly-ball-to-right-center-field-shtpox,train
dataset/fly_ball/Codex_Workstation/F_0149,F_0149,fly_ball,MLB_745910_pablo-lopez-in-play-no-out-to-mitch-haniger,train
dataset/fly_ball/Codex_Workstation/F_0150,F_0150,fly_ball,MLB_745910_ryan-jeffers-homers-8-on-a-line-drive-to-left-center-field,test
dataset/fly_ball/Codex_Workstation/F_0151,F_0151,fly_ball,MLB_745913_dominic-smith-doubles-1-on-a-fly-ball-to-left-fielder-manuel-margot-w,train
dataset/fly_ball/Codex_Workstation/F_0152,F_0152,fly_ball,MLB_746147_jake-burger-lines-out-sharply-to-third-baseman-max-muncy,test
dataset/fly_ball/Codex_Workstation/F_0153,F_0153,fly_ball,MLB_746312_gary-sanchez-homers-5-on-a-fly-ball-to-right-center-field,train
dataset/fly_ball/Codex_Workstation/F_0159,F_0159,fly_ball,MLB_746715_hunter-greene-in-play-out-s-to-ketel-marte,val
dataset/fly_ball/Codex_Workstation/F_0163,F_0163,fly_ball,MLB_745828_christian-scott-in-play-run-s-to-orlando-arcia,test
dataset/fly_ball/Codex_Workstation/F_0164,F_0164,fly_ball,MLB_745989_jared-triolo-lines-out-sharply-to-center-fielder-sal-frelick,train
dataset/fly_ball/Codex_Workstation/F_0166,F_0166,fly_ball,MLB_746795_patrick-corbin-in-play-out-s-to-andrew-vaughn-rg19ug,train
dataset/fly_ball/Codex_Workstation/F_0167,F_0167,fly_ball,MLB_746799_eddie-rosario-lines-out-sharply-to-right-fielder-tommy-pham,train
dataset/fly_ball/Codex_Workstation/F_0168,F_0168,fly_ball,MLB_746960_dominic-smith-lines-out-to-pitcher-taj-bradley,train
dataset/fly_ball/Codex_Workstation/F_0171,F_0171,fly_ball,MLB_745669_alex-wood-in-play-out-s-to-marcus-semien-zftrkm,train
