instrument,analysis_condition,family,ablation_protocol,ablated_or_included_group,feature_set,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds,baseline_full_endpoint_ba,endpoint_ba_delta_from_full
traditional_181d,reference,intensity,logo,logmel,without_logmel,25,101,feat_spectral_centroid_mean,-0.9805806756909201,58,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,spectral_stats,without_spectral_stats,25,137,feat_logmel_00_mean,0.9805806756909201,105,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,mfcc,without_mfcc,25,155,feat_logmel_00_mean,0.9805806756909201,114,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,time_domain,without_time_domain,25,170,feat_logmel_00_mean,0.9805806756909201,128,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,frame_energy,without_frame_energy,25,173,feat_logmel_00_mean,0.9805806756909201,126,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,band_ratios,without_band_ratios,25,173,feat_logmel_00_mean,0.9805806756909201,132,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,logo,local_transient,without_local_transient,25,177,feat_logmel_00_mean,0.9805806756909201,129,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,logmel,only_logmel,25,80,feat_logmel_00_mean,0.9805806756909201,74,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,spectral_stats,only_spectral_stats,25,44,feat_spectral_centroid_mean,-0.9805806756909201,27,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,mfcc,only_mfcc,25,26,feat_mfcc_00_mean,0.9805806756909201,18,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,time_domain,only_time_domain,25,11,feat_rms,0.9805806756909201,4,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,frame_energy,only_frame_energy,25,8,feat_frame_energy_mean,0.9805806756909201,6,1.0,0.0,50,1.0,0.0
traditional_181d,reference,intensity,sgi,band_ratios,only_band_ratios,25,8,feat_band_0_1000_ratio,0.7530859589306267,0,0.84,0.23560603574958064,50,1.0,-0.16000000000000003
traditional_181d,reference,intensity,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_mean,0.9805806756909201,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,logmel,without_logmel,25,101,feat_10ms_spectral_flux_mean,0.8982118989328828,0,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,spectral_stats,without_spectral_stats,25,137,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,mfcc,without_mfcc,25,155,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,time_domain,without_time_domain,25,170,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,frame_energy,without_frame_energy,25,173,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,band_ratios,without_band_ratios,25,173,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,logo,local_transient,without_local_transient,25,177,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,sgi,logmel,only_logmel,25,80,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,sgi,spectral_stats,only_spectral_stats,25,44,feat_10ms_spectral_flux_mean,0.8982118989328828,0,1.0,0.0,50,1.0,0.0
traditional_181d,reference,location,sgi,mfcc,only_mfcc,25,26,feat_mfcc_01_std,0.8393770583914276,0,0.9,0.20203050891044214,50,1.0,-0.09999999999999998
