family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
intensity,reference,0,environment,reference,1.0,,False,,logmel,80,0,0,0,2.0618885040283202e-05,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,spectral_stats,44,9,3,0,0.0068125,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,mfcc,26,0,0,0,0.00012644908142089842,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,time_domain,11,1,0,0,0.0020780517510334156,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,frame_energy,8,2,0,0,0.0001663831804364931,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,band_ratios,8,3,3,0,7.345432639122008e-07,0.0,1.0,0.0
intensity,reference,0,environment,reference,1.0,,False,,local_transient,4,1,0,0,6.624797599646131e-05,0.0,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,logmel,80,0,0,0,2.0618885040283202e-05,44.31893928968374,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,mfcc,26,0,0,0,0.00012644908142089842,8.11951346701514,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,time_domain,11,1,0,0,0.0020780517510334156,26.379742206877243,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,frame_energy,8,2,0,0,0.0001663831804364931,95761299619720.95,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,band_ratios,8,3,3,0,7.345432639122008e-07,0.9234840395673265,1.0,0.0
intensity,1m_30db,1,environment,1m_30db,1.0,30.0,False,,local_transient,4,1,0,0,6.624797599646131e-05,19556314615422.145,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,33.466963321308654,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,mfcc,26,0,0,0,0.00012644908142089842,7.378172584656503,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,time_domain,11,1,0,0,0.0020780517510334156,32.569944981507504,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,832045975774.2943,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,0.9371050739809744,1.0,0.0
intensity,10m_30db,2,environment,10m_30db,10.0,30.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,169560248928.3256,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,41.45772276135904,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,mfcc,26,0,0,0,0.00012644908142089842,8.124520907957958,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,time_domain,11,1,0,0,0.0020780517510334156,305.15974616070423,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,25556159156897.996,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,1.1308444013515002,1.0,0.0
intensity,10m_15db,3,environment,10m_15db,10.0,15.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,5151594785926.518,1.0,0.0
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,46.77836856526053,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,mfcc,26,0,0,0,0.00012644908142089842,8.503136148000904,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,time_domain,11,1,0,0,0.0020780517510334156,567.9617517408158,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,frame_energy,8,2,0,0,0.0001663831804364931,270151410622341.97,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,band_ratios,8,3,3,0,7.345432639122008e-07,1.1266491919260913,0.98,0.09897433186107871
intensity,10m_5db,4,environment,10m_5db,10.0,5.0,True,,local_transient,4,1,0,0,6.624797599646131e-05,54078916467741.09,0.98,0.09897433186107871
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,logmel,80,0,0,0,2.0618885040283202e-05,27.914111060877815,1.0,0.0
intensity,30m_30db,5,environment,30m_30db,30.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,1.0,0.0
