instrument,feature_set,analysis_condition,family,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds
traditional_181d,full,reference,intensity,environment,reference,1.0,,False,,25,181,feat_rms,0.9805806756909201,132,1.0,0.0,50
traditional_181d,full,reference,location,environment,reference,1.0,,False,,25,181,feat_logmel_22_std,0.9099788670411739,3,1.0,0.0,50
traditional_181d,full,reference,decay,environment,reference,1.0,,False,,25,181,feat_spectral_bandwidth_p10,0.9843740386976971,139,1.0,0.0,50
traditional_181d,full,reference,sharpness,environment,reference,1.0,,False,,25,181,feat_band_0_1000_ratio,-0.9688137075826291,19,1.0,0.0,50
traditional_181d,full,1m_30db,intensity,environment,1m_30db,1.0,30.0,False,,25,181,feat_frame_energy_std,0.9805806756909201,57,1.0,0.0,50
traditional_181d,full,1m_30db,location,environment,1m_30db,1.0,30.0,False,,25,181,feat_mfcc_02_mean,0.760930604336154,0,0.66,0.32639027596559606,50
traditional_181d,full,1m_30db,decay,environment,1m_30db,1.0,30.0,False,,25,181,feat_mfcc_02_std,-0.674639504875353,0,0.76,0.28996833043120623,50
traditional_181d,full,1m_30db,sharpness,environment,1m_30db,1.0,30.0,False,,25,181,feat_band_0_1000_ratio,-0.9060565443384102,2,1.0,0.0,50
traditional_181d,full,10m_30db,intensity,environment,10m_30db,10.0,30.0,True,,25,181,feat_frame_energy_std,0.9805806756909201,58,1.0,0.0,50
traditional_181d,full,10m_30db,location,environment,10m_30db,10.0,30.0,True,,25,181,feat_logmel_02_std,0.7177850546057536,0,0.58,0.3692242280948596,50
traditional_181d,full,10m_30db,decay,environment,10m_30db,10.0,30.0,True,,25,181,feat_mfcc_03_mean,-0.6236493097394252,0,0.69,0.2451571757390073,50
traditional_181d,full,10m_30db,sharpness,environment,10m_30db,10.0,30.0,True,,25,181,feat_mfcc_02_std,-0.9492020940688107,3,1.0,0.0,50
traditional_181d,full,10m_15db,intensity,environment,10m_15db,10.0,15.0,True,,25,181,feat_logmel_03_mean,0.9609690621771018,57,1.0,0.0,50
