global_index,repair_batch,repair_batch_index,collector,sample_id,main_relative_path,before_event_start,before_event_end,old_prefilter_status,old_primary_error,qwen_model,qwen_decision,qwen_visual_time,qwen_window_start,qwen_window_end,qwen_contact_sound_audible,qwen_contact_sound_normal_speed,selected_candidate_index,selected_candidate_time,selected_candidate_probability,selected_candidate_score,proposed_event_start,proposed_event_end,disposition,visual_evidence,failure_reason
1207,audit_checkpoint_001,1,Zhengxuan_Liu,F_034,dataset/fly_ball/Zhengxuan_Liu/F_034,0.91,0.917,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,,,,,,,contact_visible_audio_unresolved,Pitcher delivers the ball at 0:00-0:01. Batter swings and makes contact with the ball at approximately 0:01. The camera immediately follows the ball's trajectory into the outfield.,
1206,audit_checkpoint_001,2,Zhengxuan_Liu,F_033,dataset/fly_ball/Zhengxuan_Liu/F_033,1.138,1.15,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,1.145,0.73495851,3.954,1.095,1.195,candidate_bound_pending_second_review,"At ~0:00–0:01, the pitcher delivers and the batter swings; at ~0:01 a clear bat-ball contact is visible with immediate ball departure toward right-center, followed by normal-speed flight to the wall.",
1205,audit_checkpoint_001,3,Zhengxuan_Liu,F_032,dataset/fly_ball/Zhengxuan_Liu/F_032,0.809,0.815,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,contact_context_ok,1.0,0.0,3.0,True,True,,,,,,,contact_visible_audio_unresolved,A pitcher throws the ball towards home plate. The batter swings and makes contact with the ball at approximately 00:01. The camera immediately cuts to follow the ball's flight into the outfield.,
1204,audit_checkpoint_001,4,Zhengxuan_Liu,F_031,dataset/fly_ball/Zhengxuan_Liu/F_031,2.171,2.179,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,1,2.173,0.77466707,6.619,2.123,2.223,candidate_bound_pending_second_review,A pitcher delivers a pitch (0:00-0:01). The batter swings and makes contact with the ball at approximately 0:02. The camera immediately cuts to follow the batted ball into the outfield where it is caught.,
1203,audit_checkpoint_001,5,Zhengxuan_Liu,F_030,dataset/fly_ball/Zhengxuan_Liu/F_030,1.115,1.122,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,1.115,0.75839809,6.386,1.065,1.165,candidate_bound_pending_second_review,"Pitcher winds up and delivers pitch; batter swings and makes contact with the ball at approximately 0:01, followed by the ball flying into the outfield.",
1202,audit_checkpoint_001,6,Zhengxuan_Liu,F_029,dataset/fly_ball/Zhengxuan_Liu/F_029,1.204,1.211,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.8,0.5,3.5,True,True,1,1.205,0.61569325,7.843,1.155,1.255,candidate_bound_pending_second_review,"Pitcher winds up and throws (0:00-0:01), batter swings and makes contact with the ball (0:01-0:02), ball is hit into play and camera follows the runner (0:02-0:07).",
1201,audit_checkpoint_001,7,Zhengxuan_Liu,F_028,dataset/fly_ball/Zhengxuan_Liu/F_028,0.852,0.859,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.2,True,True,1,0.856,0.72184391,5.739,0.806,0.906,candidate_bound_pending_second_review,"A live pitch is thrown to a visible batter who swings and makes contact with the ball at approximately 0:00-0:01, followed by the ball flying into the outfield.",
1200,audit_checkpoint_001,8,Zhengxuan_Liu,F_027,dataset/fly_ball/Zhengxuan_Liu/F_027,1.148,1.156,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,1.15,0.8399347,6.838,1.100,1.200,candidate_bound_pending_second_review,"At 00:00 the pitcher delivers; at ~00:01 the batter swings and makes contact with a visible crack of the bat and immediate ball departure toward right field, followed by normal-speed outfield pursuit.",
1199,audit_checkpoint_001,9,Zhengxuan_Liu,F_026,dataset/fly_ball/Zhengxuan_Liu/F_026,1.297,1.307,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,1.3,0.67504075,7.246,1.250,1.350,candidate_bound_pending_second_review,Pitcher winds up and delivers pitch (0:00-0:01). Batter swings and makes contact with the ball at approx 0:01. Camera follows ball flight into outfield.,
1198,audit_checkpoint_001,10,Zhengxuan_Liu,F_025,dataset/fly_ball/Zhengxuan_Liu/F_025,0.441,0.449,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.2,True,True,,,,,,,contact_visible_audio_unresolved,"Pitcher delivers ball (0:00-0:01), batter swings and connects with the ball (0:01), followed by the camera panning to track the ball's flight into the outfield (0:02+).",
1197,audit_checkpoint_001,11,Zhengxuan_Liu,F_024,dataset/fly_ball/Zhengxuan_Liu/F_024,1.902,1.916,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,,,,,,,contact_visible_audio_unresolved,"A pitcher delivers the ball, the batter swings and makes contact around 00:02, followed by the camera tracking the ball's flight into the stands.",
