global_index,collector,sample_id,main_relative_path,source_txt_path,before_event_start,before_event_end,reason_category,required_next_action,status
1207,Zhengxuan_Liu,F_034,dataset/fly_ball/Zhengxuan_Liu/F_034,dataset/fly_ball/Zhengxuan_Liu/F_034/source.txt,0.91,0.917,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1205,Zhengxuan_Liu,F_032,dataset/fly_ball/Zhengxuan_Liu/F_032,dataset/fly_ball/Zhengxuan_Liu/F_032/source.txt,0.809,0.815,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1198,Zhengxuan_Liu,F_025,dataset/fly_ball/Zhengxuan_Liu/F_025,dataset/fly_ball/Zhengxuan_Liu/F_025/source.txt,0.441,0.449,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1197,Zhengxuan_Liu,F_024,dataset/fly_ball/Zhengxuan_Liu/F_024,dataset/fly_ball/Zhengxuan_Liu/F_024/source.txt,1.902,1.916,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1194,Zhengxuan_Liu,F_021,dataset/fly_ball/Zhengxuan_Liu/F_021,dataset/fly_ball/Zhengxuan_Liu/F_021/source.txt,0.369,0.379,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1183,Zhengxuan_Liu,F_010,dataset/fly_ball/Zhengxuan_Liu/F_010,dataset/fly_ball/Zhengxuan_Liu/F_010/source.txt,0.837,0.846,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1181,Zhengxuan_Liu,F_008,dataset/fly_ball/Zhengxuan_Liu/F_008,dataset/fly_ball/Zhengxuan_Liu/F_008/source.txt,1.427,1.436,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1177,Zhengxuan_Liu,F_004,dataset/fly_ball/Zhengxuan_Liu/F_004,dataset/fly_ball/Zhengxuan_Liu/F_004/source.txt,2.296,2.301,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1176,Zhengxuan_Liu,F_003,dataset/fly_ball/Zhengxuan_Liu/F_003,dataset/fly_ball/Zhengxuan_Liu/F_003/source.txt,2.043,2.051,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1175,Zhengxuan_Liu,F_002,dataset/fly_ball/Zhengxuan_Liu/F_002,dataset/fly_ball/Zhengxuan_Liu/F_002/source.txt,1.635,1.638,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1173,Codex_Workstation,F_1289,dataset/fly_ball/Codex_Workstation/F_1289,dataset/fly_ball/Codex_Workstation/F_1289/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1171,Codex_Workstation,F_1287,dataset/fly_ball/Codex_Workstation/F_1287,dataset/fly_ball/Codex_Workstation/F_1287/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1170,Codex_Workstation,F_1286,dataset/fly_ball/Codex_Workstation/F_1286,dataset/fly_ball/Codex_Workstation/F_1286/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1169,Codex_Workstation,F_1285,dataset/fly_ball/Codex_Workstation/F_1285,dataset/fly_ball/Codex_Workstation/F_1285/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1168,Codex_Workstation,F_1284,dataset/fly_ball/Codex_Workstation/F_1284,dataset/fly_ball/Codex_Workstation/F_1284/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1166,Codex_Workstation,F_1282,dataset/fly_ball/Codex_Workstation/F_1282,dataset/fly_ball/Codex_Workstation/F_1282/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1165,Codex_Workstation,F_1281,dataset/fly_ball/Codex_Workstation/F_1281,dataset/fly_ball/Codex_Workstation/F_1281/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1164,Codex_Workstation,F_1280,dataset/fly_ball/Codex_Workstation/F_1280,dataset/fly_ball/Codex_Workstation/F_1280/source.txt,3.860,3.960,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1163,Codex_Workstation,F_1279,dataset/fly_ball/Codex_Workstation/F_1279,dataset/fly_ball/Codex_Workstation/F_1279/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1161,Codex_Workstation,F_1277,dataset/fly_ball/Codex_Workstation/F_1277,dataset/fly_ball/Codex_Workstation/F_1277/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1158,Codex_Workstation,F_1273,dataset/fly_ball/Codex_Workstation/F_1273,dataset/fly_ball/Codex_Workstation/F_1273/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1157,Codex_Workstation,F_1272,dataset/fly_ball/Codex_Workstation/F_1272,dataset/fly_ball/Codex_Workstation/F_1272/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1156,Codex_Workstation,F_1271,dataset/fly_ball/Codex_Workstation/F_1271,dataset/fly_ball/Codex_Workstation/F_1271/source.txt,5.310,5.410,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1154,Codex_Workstation,F_1269,dataset/fly_ball/Codex_Workstation/F_1269,dataset/fly_ball/Codex_Workstation/F_1269/source.txt,5.728,5.828,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1153,Codex_Workstation,F_1268,dataset/fly_ball/Codex_Workstation/F_1268,dataset/fly_ball/Codex_Workstation/F_1268/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1152,Codex_Workstation,F_1267,dataset/fly_ball/Codex_Workstation/F_1267,dataset/fly_ball/Codex_Workstation/F_1267/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1151,Codex_Workstation,F_1266,dataset/fly_ball/Codex_Workstation/F_1266,dataset/fly_ball/Codex_Workstation/F_1266/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
