global_index,sample_id,main_relative_path,before_event_start,before_event_end,candidate_time,after_event_start,after_event_end,crosscheck_model,crosscheck_decision,outcome,failure_reason
1206,F_033,dataset/fly_ball/Zhengxuan_Liu/F_033,1.138,1.15,1.145,1.095,1.195,qwen3.5-omni-flash,confirm,metadata_time_correction,
1204,F_031,dataset/fly_ball/Zhengxuan_Liu/F_031,2.171,2.179,2.173,2.123,2.223,qwen3.5-omni-flash,confirm,metadata_time_correction,
1203,F_030,dataset/fly_ball/Zhengxuan_Liu/F_030,1.115,1.122,1.115,1.065,1.165,qwen3.5-omni-flash,confirm,metadata_time_correction,
1202,F_029,dataset/fly_ball/Zhengxuan_Liu/F_029,1.204,1.211,1.205,1.155,1.255,qwen-omni-turbo,confirm,metadata_time_correction,
1201,F_028,dataset/fly_ball/Zhengxuan_Liu/F_028,0.852,0.859,0.856,0.806,0.906,qwen3.5-omni-flash,confirm,metadata_time_correction,
1200,F_027,dataset/fly_ball/Zhengxuan_Liu/F_027,1.148,1.156,1.150,1.100,1.200,qwen3.5-omni-flash,confirm,metadata_time_correction,
1199,F_026,dataset/fly_ball/Zhengxuan_Liu/F_026,1.297,1.307,1.300,1.250,1.350,qwen3.5-omni-flash,confirm,metadata_time_correction,
1196,F_023,dataset/fly_ball/Zhengxuan_Liu/F_023,0.443,0.451,0.446,0.396,0.496,qwen3.5-omni-flash,confirm,metadata_time_correction,
1195,F_022,dataset/fly_ball/Zhengxuan_Liu/F_022,2.035,2.047,2.038,1.988,2.088,qwen3.5-omni-flash,confirm,metadata_time_correction,
1193,F_020,dataset/fly_ball/Zhengxuan_Liu/F_020,1.127,1.132,1.130,1.080,1.180,qwen3.5-omni-flash,confirm,metadata_time_correction,
1192,F_019,dataset/fly_ball/Zhengxuan_Liu/F_019,0.866,0.874,0.871,0.821,0.921,qwen3.5-omni-flash,confirm,metadata_time_correction,
1191,F_018,dataset/fly_ball/Zhengxuan_Liu/F_018,0.998,1.008,1.000,0.950,1.050,qwen3.5-omni-flash,confirm,metadata_time_correction,
1190,F_017,dataset/fly_ball/Zhengxuan_Liu/F_017,0.788,0.796,0.791,0.741,0.841,qwen3.5-omni-flash,confirm,metadata_time_correction,
1189,F_016,dataset/fly_ball/Zhengxuan_Liu/F_016,0.838,0.847,0.841,0.791,0.891,qwen3.5-omni-flash,confirm,metadata_time_correction,
1188,F_015,dataset/fly_ball/Zhengxuan_Liu/F_015,0.603,0.62,0.611,0.561,0.661,qwen3.5-omni-flash,confirm,metadata_time_correction,
1187,F_014,dataset/fly_ball/Zhengxuan_Liu/F_014,1.893,1.903,1.898,1.848,1.948,qwen3.5-omni-flash,confirm,metadata_time_correction,
1186,F_013,dataset/fly_ball/Zhengxuan_Liu/F_013,2.134,2.142,2.138,2.088,2.188,qwen3.5-omni-flash,confirm,metadata_time_correction,
1185,F_012,dataset/fly_ball/Zhengxuan_Liu/F_012,1.301,1.312,1.305,1.255,1.355,qwen3.5-omni-flash,confirm,metadata_time_correction,
1184,F_011,dataset/fly_ball/Zhengxuan_Liu/F_011,0.816,0.826,0.821,0.771,0.871,qwen3.5-omni-flash,confirm,metadata_time_correction,
1182,F_009,dataset/fly_ball/Zhengxuan_Liu/F_009,0.823,0.833,0.826,0.776,0.876,qwen3.5-omni-flash,confirm,metadata_time_correction,
1180,F_007,dataset/fly_ball/Zhengxuan_Liu/F_007,0.642,0.656,0.646,0.596,0.696,qwen3.5-omni-flash,confirm,metadata_time_correction,
1179,F_006,dataset/fly_ball/Zhengxuan_Liu/F_006,1.207,1.22,0.691,0.641,0.741,qwen3.5-omni-flash,confirm,metadata_time_correction,
1178,F_005,dataset/fly_ball/Zhengxuan_Liu/F_005,1.947,1.951,1.948,1.898,1.998,qwen3.5-omni-flash,confirm,metadata_time_correction,
1174,F_001,dataset/fly_ball/Zhengxuan_Liu/F_001,1.508,1.517,1.509,1.459,1.559,qwen3.5-omni-flash,confirm,metadata_time_correction,
1172,F_1288,dataset/fly_ball/Codex_Workstation/F_1288,1.950,2.050,0.962,0.912,1.012,qwen3.5-omni-flash,confirm,metadata_time_correction,
1167,F_1283,dataset/fly_ball/Codex_Workstation/F_1283,1.950,2.050,2.007,1.957,2.057,qwen3.5-omni-flash,confirm,metadata_time_correction,
1162,F_1278,dataset/fly_ball/Codex_Workstation/F_1278,1.830,1.930,1.898,1.848,1.948,qwen3.5-omni-flash,confirm,metadata_time_correction,
1160,F_1276,dataset/fly_ball/Codex_Workstation/F_1276,0.230,0.330,2.668,2.618,2.718,qwen3.5-omni-flash,confirm,metadata_time_correction,
1159,F_1275,dataset/fly_ball/Codex_Workstation/F_1275,1.950,2.050,0.897,0.847,0.947,qwen3.5-omni-flash,confirm,metadata_time_correction,
1155,F_1270,dataset/fly_ball/Codex_Workstation/F_1270,1.950,2.050,2.027,1.977,2.077,qwen3.5-omni-flash,confirm,metadata_time_correction,
1137,F_1250,dataset/fly_ball/Codex_Workstation/F_1250,1.950,2.050,0.863,0.813,0.913,qwen3.5-omni-flash,confirm,metadata_time_correction,
1133,F_1246,dataset/fly_ball/Codex_Workstation/F_1246,1.790,1.890,1.872,1.822,1.922,qwen3.5-omni-flash,confirm,metadata_time_correction,
1129,F_1242,dataset/fly_ball/Codex_Workstation/F_1242,1.950,2.050,2.027,,,qwen3.5-omni-flash,reject,needs_source_recut,
1120,F_1231,dataset/fly_ball/Codex_Workstation/F_1231,0.990,1.090,1.072,1.022,1.122,qwen3.5-omni-flash,confirm,metadata_time_correction,
1119,F_1230,dataset/fly_ball/Codex_Workstation/F_1230,0.970,1.070,1.058,1.008,1.108,qwen3.5-omni-flash,confirm,metadata_time_correction,
1115,F_1226,dataset/fly_ball/Codex_Workstation/F_1226,1.950,2.050,0.377,0.327,0.427,qwen3.5-omni-flash,confirm,metadata_time_correction,
1111,F_1222,dataset/fly_ball/Codex_Workstation/F_1222,1.150,1.250,1.227,1.177,1.277,qwen3.5-omni-flash,confirm,metadata_time_correction,
1110,F_1221,dataset/fly_ball/Codex_Workstation/F_1221,1.210,1.310,1.288,1.238,1.338,qwen3.5-omni-flash,confirm,metadata_time_correction,
1106,F_1217,dataset/fly_ball/Codex_Workstation/F_1217,1.950,2.050,0.127,0.077,0.177,qwen3.5-omni-flash,confirm,metadata_time_correction,
1105,F_1216,dataset/fly_ball/Codex_Workstation/F_1216,1.950,2.050,2.023,1.973,2.073,qwen-omni-turbo,confirm,metadata_time_correction,
1103,F_1213,dataset/fly_ball/Codex_Workstation/F_1213,2.973,3.073,1.913,1.863,1.963,qwen-omni-turbo,confirm,metadata_time_correction,
1102,F_1212,dataset/fly_ball/Codex_Workstation/F_1212,1.690,1.790,1.768,1.718,1.818,qwen-omni-turbo,confirm,metadata_time_correction,
