global_index,collector,sample_id,main_relative_path,id_digits,status,primary_error,error_types,required_actions,event_audio_assessment,current_event_start,current_event_end,suggested_contact_time,annotated_transient_time,annotated_transient_score,annotated_rms_ratio,annotated_diff_ratio,nearest_candidate_time,nearest_candidate_distance,strongest_candidate_time,strongest_candidate_score,audio_candidates_json,video_duration,duration_source,audio_duration,pre_contact_context,post_contact_context,trajectory_type,landing_zone,strength,missing_files,sample_csv_error,audio_error,video_title,video_url,source_id,source_path,source_clip_start,source_clip_end,resolved_source_path,source_available_locally,repair_batch,repair_batch_index
957,Codex_Workstation,F_1049,dataset/fly_ball/Codex_Workstation/F_1049,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.015,2.015,4.140,4.072,4.210,2.015,0.015,2.015,4.140,"[{""time"": 2.015, ""score"": 4.14, ""rms_ratio"": 4.072, ""diff_ratio"": 4.21}, {""time"": 2.575, ""score"": 3.878, ""rms_ratio"": 3.878, ""diff_ratio"": 3.878}, {""time"": 0.485, ""score"": 3.45, ""rms_ratio"": 3.251, ""diff_ratio"": 3.661}, {""time"": 2.745, ""score"": 2.999, ""rms_ratio"": 3.335, ""diff_ratio"": 2.698}, {""time"": 0.205, ""score"": 2.783, ""rms_ratio"": 2.738, ""diff_ratio"": 2.828}, {""time"": 2.915, ""score"": 2.528, ""rms_ratio"": 2.368, ""diff_ratio"": 2.7}, {""time"": 0.795, ""score"": 2.202, ""rms_ratio"": 2.261, ""diff_ratio"": 2.144}, {""time"": 3.025, ""score"": 2.196, ""rms_ratio"": 2.002, ""diff_ratio"": 2.408}, {""time"": 1.675, ""score"": 2.144, ""rms_ratio"": 2.155, ""diff_ratio"": 2.133}, {""time"": 1.085, ""score"": 1.998, ""rms_ratio"": 2.207, ""diff_ratio"": 1.809}]",3.149,ffprobe,3.157,2.015,1.134,fly,pending,medium,,,,Jahmai Jones on his leadoff homer in big win Jahmai Jones on his leadoff homer in big win Jahmai Jones on his leadoff homer in big win Jahmai Jones talks about hitting a leadoff home run to lead the Tigers to a big win over the Guardians,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/25/568145e4-5b2f06d2-d746e5b2-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776189_jahmai-jones-on-his-leadoff-homer-in-big-win,raw_sources\MLB_776189_jahmai-jones-on-his-leadoff-homer-in-big-win_Jahmai_Jones_on_his_leadoff_homer_in_big_win_Jahmai_Jones_on_his_leadoff_homer_in_big_win_Jahmai_Jones_on_his_lead.mp4,3.400,10.400,,no,audit_checkpoint_002,1
956,Codex_Workstation,F_1048,dataset/fly_ball/Codex_Workstation/F_1048,4,needs_edit,contact_timestamp_wrong,contact_timestamp_wrong;insufficient_post_contact_context,retime_from_local_audio_candidate;qwen_confirm_visual_contact_near_candidate;recover_source_and_recut_longer,likely_contact_timestamp_wrong,1.950,2.050,1.135,2.015,1.921,2.104,1.754,2.015,0.015,1.135,3.031,"[{""time"": 1.135, ""score"": 3.031, ""rms_ratio"": 1.3, ""diff_ratio"": 7.067}, {""time"": 0.575, ""score"": 2.191, ""rms_ratio"": 1.826, ""diff_ratio"": 2.628}, {""time"": 0.315, ""score"": 2.075, ""rms_ratio"": 1.765, ""diff_ratio"": 2.439}, {""time"": 2.015, ""score"": 1.921, ""rms_ratio"": 2.104, ""diff_ratio"": 1.754}]",2.308,ffprobe,2.325,1.135,1.173,fly,pending,medium,,,,Michael A. Taylor's two-run homer (9) Michael A. Taylor's two-run homer (9) Michael A. Taylor's two-run homer (9) Michael A. Taylor hits a two-run home run to right-center field in the top of the 4th inning to give the White Sox a 3-1 lead,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/25/a8704cd8-2d02ff95-0785e63d-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776184_michael-a-taylor-homers-9-on-a-fly-ball-to-right-center-field-miguel-,raw_sources\MLB_776184_michael-a-taylor-homers-9-on-a-fly-ball-to-right-center-field-miguel-_Michael_A._Taylor_s_two-run_homer_9_Michael_A._Taylor_s_two-run_homer_9_Michael_A._Taylor.mp4,3.580,10.580,,no,audit_checkpoint_002,2
955,Codex_Workstation,F_1047,dataset/fly_ball/Codex_Workstation/F_1047,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,1.925,1.925,2.558,1.130,5.791,2.045,0.045,0.235,2.830,"[{""time"": 0.235, ""score"": 2.83, ""rms_ratio"": 2.033, ""diff_ratio"": 3.939}, {""time"": 1.925, ""score"": 2.558, ""rms_ratio"": 1.13, ""diff_ratio"": 5.791}, {""time"": 1.175, ""score"": 2.405, ""rms_ratio"": 1.077, ""diff_ratio"": 5.369}, {""time"": 1.525, ""score"": 2.282, ""rms_ratio"": 1.959, ""diff_ratio"": 2.658}, {""time"": 2.045, ""score"": 1.909, ""rms_ratio"": 1.733, ""diff_ratio"": 2.102}, {""time"": 0.995, ""score"": 1.733, ""rms_ratio"": 0.632, ""diff_ratio"": 3.003}, {""time"": 1.755, ""score"": 1.73, ""rms_ratio"": 1.621, ""diff_ratio"": 1.846}, {""time"": 1.415, ""score"": 1.714, ""rms_ratio"": 1.653, ""diff_ratio"": 1.778}, {""time"": 1.625, ""score"": 1.706, ""rms_ratio"": 1.542, ""diff_ratio"": 1.888}]",2.138,ffprobe,2.155,1.925,0.213,fly,pending,medium,,,,Byron Buxton's two-homer day  Byron Buxton's two-homer day  Byron Buxton's two-homer day  Byron Buxton hits two no-doubt home runs to lead the Twins to a 4-0 victory,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/25/dd42cf48-61050e5f-9dce8628-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776183_byron-buxton-s-two-homer-day,raw_sources\MLB_776183_byron-buxton-s-two-homer-day_Byron_Buxton_s_two-homer_day_Byron_Buxton_s_two-homer_day_Byron_Buxton_s_two-homer_day_Byron_Buxton_hits_two_no-doubt_home_runs_to.mp4,7.440,14.440,,no,audit_checkpoint_002,3
954,Codex_Workstation,F_1046,dataset/fly_ball/Codex_Workstation/F_1046,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.035,2.035,3.385,3.672,3.122,2.095,0.095,0.315,4.610,"[{""time"": 0.315, ""score"": 4.61, ""rms_ratio"": 3.081, ""diff_ratio"": 6.898}, {""time"": 0.105, ""score"": 4.438, ""rms_ratio"": 2.986, ""diff_ratio"": 6.595}, {""time"": 5.945, ""score"": 4.348, ""rms_ratio"": 2.262, ""diff_ratio"": 8.355}, {""time"": 6.995, ""score"": 4.102, ""rms_ratio"": 1.571, ""diff_ratio"": 10.708}, {""time"": 1.055, ""score"": 4.042, ""rms_ratio"": 1.611, ""diff_ratio"": 10.139}, {""time"": 2.215, ""score"": 3.834, ""rms_ratio"": 2.762, ""diff_ratio"": 5.322}, {""time"": 0.435, ""score"": 3.639, ""rms_ratio"": 2.392, ""diff_ratio"": 5.536}, {""time"": 5.165, ""score"": 3.525, ""rms_ratio"": 2.875, ""diff_ratio"": 4.321}, {""time"": 2.095, ""score"": 3.469, ""rms_ratio"": 2.851, ""diff_ratio"": 4.221}, {""time"": 0.655, ""score"": 3.406, ""rms_ratio"": 3.497, ""diff_ratio"": 3.317}, {""time"": 1.825, ""score"": 3.207, ""rms_ratio"": 3.305, ""diff_ratio"": 3.112}, {""time"": 3.505, ""score"": 3.202, ""rms_ratio"": 1.267, ""diff_ratio"": 8.093}, {""time"": 1.155, ""score"": 3.192, ""rms_ratio"": 1.241, ""diff_ratio"": 8.211}, {""time"": 3.085, ""score"": 2.948, ""rms_ratio"": 2.146, ""diff_ratio"": 4.05}, {""time"": 4.535, ""score"": 2.762, ""rms_ratio"": 2.606, ""diff_ratio"": 2.927}, {""time"": 2.345, ""score"": 2.722, ""rms_ratio"": 1.748, ""diff_ratio"": 4.239}]",7.006,ffprobe,7.019,2.035,4.971,fly,pending,medium,,,,Byron Buxton's second homer of the game (34) Byron Buxton's second homer of the game (34) Byron Buxton's second homer of the game (34) Byron Buxton hits his second home run of the game with a three-run homer to left-center field to put the Twins up 4-0 in the 8th,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/25/ea2f4cf5-0e478072-4dea7a02-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776183_byron-buxton-homers-34-on-a-fly-ball-to-center-field-ryan-fitzgerald-,raw_sources\MLB_776183_byron-buxton-homers-34-on-a-fly-ball-to-center-field-ryan-fitzgerald-_Byron_Buxton_s_second_homer_of_the_game_34_Byron_Buxton_s_second_homer_of_the_game_34_Byr.mp4,0.540,7.540,,no,audit_checkpoint_002,4
953,Codex_Workstation,F_1045,dataset/fly_ball/Codex_Workstation/F_1045,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.025,2.025,15.382,11.563,20.463,2.025,0.025,2.235,16.921,"[{""time"": 2.235, ""score"": 16.921, ""rms_ratio"": 12.708, ""diff_ratio"": 22.532}, {""time"": 2.025, ""score"": 15.382, ""rms_ratio"": 11.563, ""diff_ratio"": 20.463}, {""time"": 1.665, ""score"": 14.456, ""rms_ratio"": 9.736, ""diff_ratio"": 21.464}, {""time"": 1.875, ""score"": 13.216, ""rms_ratio"": 9.667, ""diff_ratio"": 18.068}, {""time"": 2.415, ""score"": 11.981, ""rms_ratio"": 8.749, ""diff_ratio"": 16.409}, {""time"": 2.715, ""score"": 11.158, ""rms_ratio"": 9.022, ""diff_ratio"": 13.799}, {""time"": 3.205, ""score"": 10.061, ""rms_ratio"": 7.089, ""diff_ratio"": 14.277}, {""time"": 3.035, ""score"": 9.466, ""rms_ratio"": 4.163, ""diff_ratio"": 21.521}, {""time"": 3.315, ""score"": 8.165, ""rms_ratio"": 5.706, ""diff_ratio"": 11.682}, {""time"": 2.845, ""score"": 6.648, ""rms_ratio"": 4.72, ""diff_ratio"": 9.365}, {""time"": 2.605, ""score"": 3.973, ""rms_ratio"": 1.789, ""diff_ratio"": 8.827}]",3.326,ffprobe,3.328,2.025,1.301,fly,pending,medium,,,,"Pete Crow-Armstrong on recording 30-30 season, more Pete Crow-Armstrong on recording 30-30 season, more Pete Crow-Armstrong on recording 30-30 season, more Pete Crow-Armstrong discusses hitting a home run to record a 30-30 season and more following the Cubs' dominant 12-1 victory over the Cardinals",https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/26/3c5ca1e6-9c267d08-c0628f40-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776167_pete-crow-armstrong-on-recording-30-30-season-more,raw_sources\MLB_776167_pete-crow-armstrong-on-recording-30-30-season-more_Pete_Crow-Armstrong_on_recording_30-30_season_more_Pete_Crow-Armstrong_on_recording_30-30_season_more_Pete_C.mp4,3.820,10.820,,no,audit_checkpoint_002,5
952,Codex_Workstation,F_1044,dataset/fly_ball/Codex_Workstation/F_1044,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.035,2.035,2.693,2.195,3.304,2.035,0.035,2.035,2.693,"[{""time"": 2.035, ""score"": 2.693, ""rms_ratio"": 2.195, ""diff_ratio"": 3.304}, {""time"": 2.255, ""score"": 1.926, ""rms_ratio"": 1.265, ""diff_ratio"": 2.932}]",3.126,ffprobe,3.136,2.035,1.091,fly,pending,medium,,,,Luis García Jr.'s second homer of the night (15) Luis García Jr.'s second homer of the night (15) Luis García Jr.'s second homer of the night (15) Luis García Jr. brings the Nationals within three runs of the White Sox with a two-run home run in the bottom of the 6th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/26/940c8eb6-3a40c1f9-d1d7bc2b-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776165_luis-garcia-jr-homers-15-on-a-fly-ball-to-right-field-daylen-lile-sco,raw_sources\MLB_776165_luis-garcia-jr-homers-15-on-a-fly-ball-to-right-field-daylen-lile-sco_Luis_Garc_a_Jr._s_second_homer_of_the_night_15_Luis_Garc_a_Jr._s_second_homer_of_the_nigh.mp4,3.380,10.380,,no,audit_checkpoint_002,6
951,Codex_Workstation,F_1043,dataset/fly_ball/Codex_Workstation/F_1043,4,needs_edit,clip_too_short,insufficient_pre_contact_context;insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,0.910,1.010,0.985,0.985,4.417,4.367,4.468,0.985,0.025,0.985,4.417,"[{""time"": 0.985, ""score"": 4.417, ""rms_ratio"": 4.367, ""diff_ratio"": 4.468}, {""time"": 5.375, ""score"": 3.183, ""rms_ratio"": 3.3, ""diff_ratio"": 3.07}, {""time"": 5.725, ""score"": 3.143, ""rms_ratio"": 1.839, ""diff_ratio"": 5.37}, {""time"": 3.815, ""score"": 3.044, ""rms_ratio"": 2.908, ""diff_ratio"": 3.186}, {""time"": 6.365, ""score"": 2.941, ""rms_ratio"": 2.919, ""diff_ratio"": 2.964}, {""time"": 4.435, ""score"": 2.909, ""rms_ratio"": 3.208, ""diff_ratio"": 2.637}, {""time"": 3.395, ""score"": 2.713, ""rms_ratio"": 2.796, ""diff_ratio"": 2.632}, {""time"": 2.435, ""score"": 2.525, ""rms_ratio"": 2.724, ""diff_ratio"": 2.341}, {""time"": 2.135, ""score"": 2.187, ""rms_ratio"": 2.13, ""diff_ratio"": 2.246}, {""time"": 6.825, ""score"": 2.122, ""rms_ratio"": 2.108, ""diff_ratio"": 2.137}, {""time"": 1.775, ""score"": 2.101, ""rms_ratio"": 2.47, ""diff_ratio"": 1.786}, {""time"": 2.925, ""score"": 1.954, ""rms_ratio"": 2.232, ""diff_ratio"": 1.712}, {""time"": 6.635, ""score"": 1.939, ""rms_ratio"": 2.256, ""diff_ratio"": 1.667}, {""time"": 5.585, ""score"": 1.934, ""rms_ratio"": 1.794, ""diff_ratio"": 2.084}, {""time"": 4.065, ""score"": 1.769, ""rms_ratio"": 2.532, ""diff_ratio"": 1.235}]",7.014,ffprobe,7.014,0.985,6.029,fly,pending,medium,,,,Pete Crow-Armstrong's two-run home run (31) Pete Crow-Armstrong's two-run home run (31) Pete Crow-Armstrong's two-run home run (31) Pete Crow-Armstrong crushes a two-run to increase the Cubs' lead to 7-3 in the bottom of the 8th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/27/579be802-3e8afbac-acc550e7-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776164_pete-crow-armstrong-homers-31-on-a-fly-ball-to-right-field-seiya-suzu,raw_sources\MLB_776164_pete-crow-armstrong-homers-31-on-a-fly-ball-to-right-field-seiya-suzu_Pete_Crow-Armstrong_s_two-run_home_run_31_Pete_Crow-Armstrong_s_two-run_home_run_31_Pete_.mp4,0.000,7.000,,no,audit_checkpoint_002,7
950,Codex_Workstation,F_1042,dataset/fly_ball/Codex_Workstation/F_1042,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.470,1.570,1.535,1.535,12.516,8.010,19.558,1.535,0.015,1.535,12.516,"[{""time"": 1.535, ""score"": 12.516, ""rms_ratio"": 8.01, ""diff_ratio"": 19.558}, {""time"": 3.765, ""score"": 4.941, ""rms_ratio"": 2.275, ""diff_ratio"": 10.732}, {""time"": 6.815, ""score"": 4.698, ""rms_ratio"": 3.247, ""diff_ratio"": 6.796}, {""time"": 6.695, ""score"": 4.497, ""rms_ratio"": 3.142, ""diff_ratio"": 6.436}, {""time"": 6.995, ""score"": 4.407, ""rms_ratio"": 3.576, ""diff_ratio"": 5.429}, {""time"": 6.465, ""score"": 3.895, ""rms_ratio"": 2.874, ""diff_ratio"": 5.28}, {""time"": 4.085, ""score"": 3.726, ""rms_ratio"": 1.674, ""diff_ratio"": 8.294}, {""time"": 6.585, ""score"": 3.649, ""rms_ratio"": 3.034, ""diff_ratio"": 4.39}, {""time"": 5.805, ""score"": 3.067, ""rms_ratio"": 2.867, ""diff_ratio"": 3.281}, {""time"": 6.235, ""score"": 3.0, ""rms_ratio"": 2.342, ""diff_ratio"": 3.842}, {""time"": 6.345, ""score"": 2.785, ""rms_ratio"": 2.123, ""diff_ratio"": 3.653}, {""time"": 4.505, ""score"": 2.762, ""rms_ratio"": 2.734, ""diff_ratio"": 2.79}, {""time"": 5.985, ""score"": 2.629, ""rms_ratio"": 2.125, ""diff_ratio"": 3.252}, {""time"": 3.375, ""score"": 2.578, ""rms_ratio"": 2.041, ""diff_ratio"": 3.256}, {""time"": 5.135, ""score"": 2.574, ""rms_ratio"": 2.055, ""diff_ratio"": 3.225}, {""time"": 5.475, ""score"": 2.562, ""rms_ratio"": 2.789, ""diff_ratio"": 2.354}]",7.014,ffprobe,7.014,1.535,5.479,fly,pending,medium,,,,Nolan Arenado's solo home run (12) Nolan Arenado's solo home run (12) Nolan Arenado's solo home run (12) Nolan Arenado ties the game with a solo home run to left-center field in the 4th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/27/b128e3f4-4eb8e035-3b409498-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776164_nolan-arenado-homers-12-on-a-fly-ball-to-left-center-field,raw_sources\MLB_776164_nolan-arenado-homers-12-on-a-fly-ball-to-left-center-field_Nolan_Arenado_s_solo_home_run_12_Nolan_Arenado_s_solo_home_run_12_Nolan_Arenado_s_solo_home_run_12_N.mp4,0.000,7.000,,no,audit_checkpoint_002,8
949,Codex_Workstation,F_1041,dataset/fly_ball/Codex_Workstation/F_1041,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.025,2.025,2.407,2.424,2.389,2.025,0.025,0.055,2.540,"[{""time"": 0.055, ""score"": 2.54, ""rms_ratio"": 2.315, ""diff_ratio"": 2.787}, {""time"": 2.025, ""score"": 2.407, ""rms_ratio"": 2.424, ""diff_ratio"": 2.389}, {""time"": 1.625, ""score"": 2.253, ""rms_ratio"": 1.75, ""diff_ratio"": 2.9}, {""time"": 1.005, ""score"": 2.152, ""rms_ratio"": 1.902, ""diff_ratio"": 2.436}, {""time"": 1.245, ""score"": 2.092, ""rms_ratio"": 2.336, ""diff_ratio"": 1.874}, {""time"": 0.705, ""score"": 2.083, ""rms_ratio"": 2.568, ""diff_ratio"": 1.69}, {""time"": 0.265, ""score"": 1.849, ""rms_ratio"": 2.2, ""diff_ratio"": 1.553}]",2.029,ffprobe,2.048,2.025,0.004,fly,pending,medium,,,,"Coby Mayo's solo home run (11) Coby Mayo's solo home run (11) Coby Mayo's solo home run (11) Coby Mayo hits a solo home run to left-center field in the 8th, putting the Orioles on the board, 6-1",https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/27/d1bd93e5-56ea399e-4d0e4d53-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776162_coby-mayo-homers-11-on-a-fly-ball-to-left-center-field,raw_sources\MLB_776162_coby-mayo-homers-11-on-a-fly-ball-to-left-center-field_Coby_Mayo_s_solo_home_run_11_Coby_Mayo_s_solo_home_run_11_Coby_Mayo_s_solo_home_run_11_Coby_Mayo_hits_a_.mp4,5.480,12.480,,no,audit_checkpoint_002,9
948,Codex_Workstation,F_1040,dataset/fly_ball/Codex_Workstation/F_1040,4,needs_edit,clip_too_short,insufficient_post_contact_context,recover_source_and_recut_longer,annotated_contact_audio_confirmed,1.950,2.050,2.025,2.025,2.333,2.504,2.174,2.025,0.025,2.025,2.333,"[{""time"": 2.025, ""score"": 2.333, ""rms_ratio"": 2.504, ""diff_ratio"": 2.174}, {""time"": 0.165, ""score"": 2.041, ""rms_ratio"": 2.159, ""diff_ratio"": 1.93}, {""time"": 1.605, ""score"": 1.842, ""rms_ratio"": 2.235, ""diff_ratio"": 1.518}, {""time"": 1.195, ""score"": 1.814, ""rms_ratio"": 1.772, ""diff_ratio"": 1.857}]",2.157,ffprobe,2.176,2.025,0.132,fly,pending,medium,,,,"Colson Montgomery's two-run homer (21) Colson Montgomery's two-run homer (21) Colson Montgomery's two-run homer (21) Colson Montgomery hits a two-run home run to right field, giving the White Sox a 2-0 lead in the 4th",https://mlb-cuts-diamond.mlb.com/FORGE/2025/2025-09/27/f5e045ed-d0eeb31a-fa815c11-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,MLB_776160_colson-montgomery-homers-21-on-a-fly-ball-to-right-field-kyle-teel-sc,raw_sources\MLB_776160_colson-montgomery-homers-21-on-a-fly-ball-to-right-field-kyle-teel-sc_Colson_Montgomery_s_two-run_homer_21_Colson_Montgomery_s_two-run_homer_21_Colson_Montgome.mp4,4.200,11.200,,no,audit_checkpoint_002,10
