repair_batch,repair_batch_index,collector,sample_id,main_relative_path,primary_error,result,changed,unresolved_reason,before_event_start,before_event_end,after_event_start,after_event_end,selected_candidate_time,visual_contact_time,audio_visual_offset,before_duration,after_duration,recut_status,source_clip_start_before,source_clip_start_after,source_clip_end_after,before_trajectory,after_trajectory,trajectory_changed,qwen_proposed_trajectory,trajectory_change_suppressed,qwen_binding_status,qwen_confidence,qwen_model,contact_gate_status,contact_gate_decision,contact_gate_contact_visible,contact_gate_live_pitch_and_swing_visible,contact_gate_candidate_sound_is_bat_contact,contact_gate_replay_or_slow_motion,contact_gate_confidence,contact_gate_model,contact_gate_visual_evidence,contact_gate_audio_evidence,contact_gate_failure_reason,before_video_sha256,before_audio_sha256,after_video_sha256,after_audio_sha256,apply_mode
1,1,Codex_Workstation,F_0001,dataset/fly_ball/Codex_Workstation/F_0001,clip_too_short,recut_and_retime,yes,,0.940,1.040,0.925,1.025,0.975,0.980,0.005,7.014,12.995,recut_complete,0.000,0.000,12.995,fly,fly,no,fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,1.0,qwen3.5-omni-plus-2026-03-15,"A live pitch sequence shows the pitcher delivering the ball and the batter swinging. At approximately 0.7 seconds into the clip, the bat makes clear contact with the baseball, followed by immediate follow-through.","A sharp, distinct crack sound consistent with a bat hitting a ball is audible at the expected time of contact.",,eb26303e22fa7aa3f577b5d88cae8cf00e2c0c0e27ad5163f5ac7291aab60162,440c1d7d1ed0118a6db43b56e576966bacc1f2f7b62b8dff53aacd7f4498e762,eb26303e22fa7aa3f577b5d88cae8cf00e2c0c0e27ad5163f5ac7291aab60162,440c1d7d1ed0118a6db43b56e576966bacc1f2f7b62b8dff53aacd7f4498e762,applied
1,2,Codex_Workstation,F_0002,dataset/fly_ball/Codex_Workstation/F_0002,clip_too_short,unchanged_unresolved,no,contact_gate_reject,1.250,1.350,,,1.295,1.300,0.005,7.014,7.014,recut_complete,0.000,,,fly,,no,fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_reject,reject,False,True,False,False,1.0,qwen3.5-omni-plus-2026-03-15,The video shows a pitcher delivering a pitch to a batter. The batter swings and misses the ball completely (a strike). There is no visible contact between the bat and the ball.,"A sharp 'crack' sound is heard at approximately 1.3 seconds, which typically indicates a hit. However, since the visual evidence clearly shows a swing-and-miss with no contact, this sound is inconsistent with the action shown (likely a mismatch or a foul tip not visible from this angle, but visually it's a miss).","The visual evidence shows the batter swinging and missing the pitch; therefore, no bat-ball contact occurred to generate the candidate sound.",2115558c3cfc1f16299fb6d705249f1454ddfac47f0a68dc8daeec772ee31963,ef83b7e3513493bb22280cf4fe0631ebef996604cc59226504b171d55c958a32,,,applied
1,3,Codex_Workstation,F_0004,dataset/fly_ball/Codex_Workstation/F_0004,clip_too_short,unchanged_unresolved,no,contact_gate_reject,3.400,3.500,,,2.005,2.000,0.005,7.014,7.014,recut_complete,0.000,,,line_drive,,no,line_drive,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_reject,reject,False,True,False,False,1.0,qwen3.5-omni-plus-2026-03-15,"The video shows a pitcher delivering a pitch and the batter swinging. The ball hits the batter's leg (HBP), indicated by the scoreboard graphic 'HBP' and the visual of the ball deflecting off the batter without a bat swing making contact. There is no visible bat-ball impact.","A sharp sound occurs, but given the visual evidence of a hit-by-pitch, this sound is likely the ball hitting the batter's body or equipment, not a bat-ball crack.",No bat-ball contact is visible; the event is a hit-by-pitch.,fbf872fa4c7f1639c6ce25218885870236fcafd6b10178100bd778282e5ee607,94b5e4f6eb74e806d06305c1448cc08f517c168419c9abc96c82d55bb72f8fa9,,,applied
1,4,Codex_Workstation,F_0005,dataset/fly_ball/Codex_Workstation/F_0005,clip_too_short,recut_and_retime,yes,,1.580,1.680,1.575,1.675,1.625,1.630,0.005,7.014,13.635,recut_complete,0.000,0.000,13.635,fly,fly,no,fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,0.95,qwen3.5-omni-plus-2026-03-15,"The video shows a live pitch from the pitcher to the batter. The batter swings and makes solid contact with the ball, which is visible flying off the bat immediately after the swing.","A sharp, distinct 'crack' sound consistent with a bat hitting a baseball occurs at approximately 0.7 seconds into the clip, synchronized with the visual contact.",,b642960ef383031b024d5015d9f7b5a0b5351c8977ee4f0a9dc7532a37eb6059,dfd9640382aa714753f94311d681b9aa8aeb38b9fbcdf042af658fca117d0d20,b642960ef383031b024d5015d9f7b5a0b5351c8977ee4f0a9dc7532a37eb6059,dfd9640382aa714753f94311d681b9aa8aeb38b9fbcdf042af658fca117d0d20,applied
1,5,Codex_Workstation,F_0006,dataset/fly_ball/Codex_Workstation/F_0006,clip_too_short,recut_and_retime,yes,,0.790,0.890,0.785,0.885,0.835,0.840,0.005,7.014,12.845,recut_partial_context,0.000,0.000,12.845,pop_fly,pop_fly,no,pop_fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,0.95,qwen3.5-omni-plus-2026-03-15,"The clip shows a live pitch from the pitcher's mound to home plate. The batter swings and makes visible contact with the ball at approximately 0.7 seconds into the clip, causing the ball to deflect sharply.","A distinct, sharp 'crack' sound is heard at 0.835 seconds, consistent with the sound of a bat hitting a baseball.",,a93b2c74f570c7025b921b07065146e23e4576b6dcae10d863829d7fb1992b69,b8e3917adaf7438d103fc8a4e2421bca9674826e02eaf37a4122a38e51dfe162,a93b2c74f570c7025b921b07065146e23e4576b6dcae10d863829d7fb1992b69,b8e3917adaf7438d103fc8a4e2421bca9674826e02eaf37a4122a38e51dfe162,applied
1,6,Codex_Workstation,F_0008,dataset/fly_ball/Codex_Workstation/F_0008,clip_too_short,recut_and_retime,yes,,3.400,3.500,1.945,2.045,1.995,2.000,0.005,7.007,14.000,recut_complete,0.000,1.465,15.465,fly,fly,no,fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,1.0,qwen3.5-omni-plus-2026-03-15,"The video shows a live pitch sequence from behind the pitcher's mound. A batter in a white uniform swings at the incoming ball. At approximately 0.7 seconds, the bat makes contact with the ball, followed immediately by the batter's follow-through motion.","A distinct, sharp 'crack' sound consistent with a baseball bat hitting a ball is heard at approximately 0.7 seconds, synchronized perfectly with the visual impact.",,8a7bda430686f40f2ef897844a67949312c83e35223e0a6c1003b6185ea75ef4,58f9e9748bb543cc4b39472eb8d0c05aeb1e1b34acd49c2c2928e2860aef13e4,8a7bda430686f40f2ef897844a67949312c83e35223e0a6c1003b6185ea75ef4,58f9e9748bb543cc4b39472eb8d0c05aeb1e1b34acd49c2c2928e2860aef13e4,applied
1,7,Codex_Workstation,F_0010,dataset/fly_ball/Codex_Workstation/F_0010,clip_too_short,recut_and_retime,yes,,3.390,3.490,1.955,2.055,2.005,2.000,0.005,7.007,14.000,recut_complete,0.000,1.455,15.455,line_drive,line_drive,no,line_drive,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,0.95,qwen3.5-omni-plus-2026-03-15,"The video shows a live pitch from the pitcher to the batter. At approximately 00:00.7, the batter swings and makes visible contact with the baseball, causing the ball to deflect sharply.","A distinct, sharp 'crack' sound is heard at approximately 00:00.7, which corresponds perfectly with the visual moment of the bat hitting the ball.",,9b1605303c76d5f26b93cd0899dbaa9a51ea0700e6aac3d255f57f7af7624097,cac1be9746cf44ee7a9c926dbd11e62a23fd7560e57c615f35b88129058335ad,9b1605303c76d5f26b93cd0899dbaa9a51ea0700e6aac3d255f57f7af7624097,cac1be9746cf44ee7a9c926dbd11e62a23fd7560e57c615f35b88129058335ad,applied
1,8,Codex_Workstation,F_0011,dataset/fly_ball/Codex_Workstation/F_0011,clip_too_short,recut_and_retime,yes,,1.060,1.160,1.055,1.155,1.105,1.120,0.015,7.014,13.125,recut_complete,0.000,0.000,13.125,fly,fly,no,fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,1.0,qwen3.5-omni-plus-2026-03-15,"The video shows a live pitch sequence from a center-field camera angle. The pitcher delivers the ball, and the batter swings. At approximately 0.7 seconds, the bat makes clear contact with the baseball, causing the ball to deflect sharply.","A distinct, sharp 'crack' sound is heard at roughly 0.7 seconds, which corresponds perfectly with the visual moment of the bat striking the ball.",,2bbd352990510f29895767d93c9fea4c6894e103ce0f492c094091e2fb988a5c,48ba28c2203b53d14ae0c38c4a20e5c73411ca30c8d2312b435740cf7a688a00,2bbd352990510f29895767d93c9fea4c6894e103ce0f492c094091e2fb988a5c,48ba28c2203b53d14ae0c38c4a20e5c73411ca30c8d2312b435740cf7a688a00,applied
1,9,Codex_Workstation,F_0012,dataset/fly_ball/Codex_Workstation/F_0012,clip_too_short,recut_and_retime,yes,,3.370,3.470,1.965,2.065,2.015,2.030,0.015,7.015,14.000,recut_complete,0.000,1.435,15.435,line_drive,line_drive,no,line_drive,no,audio_candidate_bound,0.98,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,0.95,qwen3.5-omni-plus-2026-03-15,"The clip shows a live pitch from the mound. The batter swings and makes clear contact with the ball at approximately 0.7 seconds into the clip, followed by the swing's follow-through.","A sharp, distinct 'crack' sound consistent with a bat hitting a baseball is heard, synchronized with the visual moment of contact.",,0992c7bc8c2715da87f0ac486f26c7c5a81a5c3f082cbe8480dfcfcf020d4808,b5bd6c7cd1205040d2becf6661b06d2a5f125bcb29683313ad8b91314dc5f564,0992c7bc8c2715da87f0ac486f26c7c5a81a5c3f082cbe8480dfcfcf020d4808,b5bd6c7cd1205040d2becf6661b06d2a5f125bcb29683313ad8b91314dc5f564,applied
1,10,Codex_Workstation,F_0013,dataset/fly_ball/Codex_Workstation/F_0013,clip_too_short,recut_and_retime,yes,,3.300,3.400,1.955,2.055,2.005,2.010,0.005,7.006,14.000,recut_complete,0.000,1.365,15.365,pop_fly,pop_fly,no,pop_fly,no,audio_candidate_bound,0.95,qwen3.5-omni-flash-2026-03-15,contact_gate_pass,confirm,True,True,True,False,1.0,qwen3.5-omni-plus-2026-03-15,"The video shows a live pitch from the mound. The batter swings and makes solid contact with the ball at approximately 0.7 seconds into the clip, followed by the immediate follow-through of the swing.","A distinct, sharp 'crack' sound consistent with a bat hitting a baseball is heard, synchronized perfectly with the visual moment of contact.",,f7f4afa7ac29d22b92c841c4e80ec0a8450fb0be42e479822129de104da6eb39,27a6a4bc1da5420ade6060ecdd6e3b6b13cd4fe09ee3906b088d9c889092d9c3,f7f4afa7ac29d22b92c841c4e80ec0a8450fb0be42e479822129de104da6eb39,27a6a4bc1da5420ade6060ecdd6e3b6b13cd4fe09ee3906b088d9c889092d9c3,applied
