sample_id,sample_path,status,audio_ratio,changed_fields,old_values,new_values,reason
F_001,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_001,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_002,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_002,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_003,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_003,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_004,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_004,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_005,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_005,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_006,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_006,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_007,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_007,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_008,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_008,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_009,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_009,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_010,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_010,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_011,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_011,auto_applied,,"event_start,event_end","{""event_end"": ""1.160"", ""event_start"": ""1.060""}","{""event_end"": ""1.170"", ""event_start"": ""1.070""}",field-level evidence applied; unverified secondary fields retained
F_012,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_012,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_013,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_013,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_014,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_014,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_015,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_015,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_016,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_016,auto_applied,,"event_start,event_end","{""event_end"": ""3.760"", ""event_start"": ""3.660""}","{""event_end"": ""3.770"", ""event_start"": ""3.670""}",field-level evidence applied; unverified secondary fields retained
F_017,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_017,auto_applied,,"event_start,event_end","{""event_end"": ""1.280"", ""event_start"": ""1.180""}","{""event_end"": ""1.090"", ""event_start"": ""0.990""}",field-level evidence applied; unverified secondary fields retained
F_018,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_018,auto_applied,,"event_start,event_end","{""event_end"": ""2.020"", ""event_start"": ""1.920""}","{""event_end"": ""2.010"", ""event_start"": ""1.910""}",field-level evidence applied; unverified secondary fields retained
F_019,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_019,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_020,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_020,auto_applied,,"event_start,event_end","{""event_end"": ""0.960"", ""event_start"": ""0.820""}","{""event_end"": ""0.870"", ""event_start"": ""0.770""}",field-level evidence applied; unverified secondary fields retained
F_021,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_021,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_022,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_022,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""3.540"", ""event_start"": ""3.440"", ""landing_zone"": ""9""}","{""event_end"": ""3.530"", ""event_start"": ""3.430"", ""landing_zone"": ""1""}",field-level evidence applied; unverified secondary fields retained
F_023,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_023,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_024,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_024,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_025,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_025,auto_applied,,"event_start,event_end","{""event_end"": ""1.060"", ""event_start"": ""0.960""}","{""event_end"": ""1.050"", ""event_start"": ""0.950""}",field-level evidence applied; unverified secondary fields retained
F_026,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_026,auto_applied,,trajectory_type,"{""trajectory_type"": ""fly""}","{""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_027,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_027,auto_applied,,"event_start,event_end","{""event_end"": ""0.690"", ""event_start"": ""0.590""}","{""event_end"": ""0.790"", ""event_start"": ""0.690""}",field-level evidence applied; unverified secondary fields retained
F_028,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_028,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_029,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_029,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_030,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_030,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_031,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_031,auto_applied,,"event_start,event_end","{""event_end"": ""1.080"", ""event_start"": ""0.980""}","{""event_end"": ""1.070"", ""event_start"": ""0.970""}",field-level evidence applied; unverified secondary fields retained
F_032,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_032,auto_applied,,strength,"{""strength"": ""medium""}","{""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_033,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_033,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_034,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_034,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""2.150"", ""event_start"": ""2.050""}",field-level evidence applied; unverified secondary fields retained
F_035,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_035,auto_applied,,strength,"{""strength"": ""medium""}","{""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_036,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_036,auto_applied,,"event_start,event_end","{""event_end"": ""3.510"", ""event_start"": ""3.410""}","{""event_end"": ""5.030"", ""event_start"": ""4.930""}",field-level evidence applied; unverified secondary fields retained
F_037,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_037,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_038,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_038,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""1.780"", ""event_start"": ""1.680"", ""landing_zone"": ""7""}","{""event_end"": ""1.790"", ""event_start"": ""1.690"", ""landing_zone"": ""8""}",field-level evidence applied; unverified secondary fields retained
F_039,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_039,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_040,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_040,auto_applied,,"event_start,event_end","{""event_end"": ""0.983"", ""event_start"": ""0.883""}","{""event_end"": ""0.870"", ""event_start"": ""0.770""}",field-level evidence applied; unverified secondary fields retained
F_041,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_041,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_043,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_043,auto_applied,,"event_start,event_end","{""event_end"": ""1.800"", ""event_start"": ""1.700""}","{""event_end"": ""1.790"", ""event_start"": ""1.690""}",field-level evidence applied; unverified secondary fields retained
