sample_id,status,action,reason,published_path,archive_path
F_001,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_001,dataset_rejected\flyball_v2_20260727\batch_01\F_001
F_002,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_002,dataset_rejected\flyball_v2_20260727\batch_01\F_002
F_003,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_003,dataset_rejected\flyball_v2_20260727\batch_01\F_003
F_004,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_004,dataset_rejected\flyball_v2_20260727\batch_01\F_004
F_005,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_005,dataset_rejected\flyball_v2_20260727\batch_01\F_005
F_006,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_006,dataset_rejected\flyball_v2_20260727\batch_01\F_006
F_007,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_007,dataset_rejected\flyball_v2_20260727\batch_01\F_007
F_008,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_008,dataset_rejected\flyball_v2_20260727\batch_01\F_008
F_009,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_009,dataset_rejected\flyball_v2_20260727\batch_01\F_009
F_010,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_010,dataset_rejected\flyball_v2_20260727\batch_01\F_010
F_011,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_011,dataset_rejected\flyball_v2_20260727\batch_01\F_011
F_012,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_012,dataset_rejected\flyball_v2_20260727\batch_01\F_012
F_013,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_013,dataset_rejected\flyball_v2_20260727\batch_01\F_013
F_014,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_014,dataset_rejected\flyball_v2_20260727\batch_01\F_014
F_015,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_015,dataset_rejected\flyball_v2_20260727\batch_01\F_015
F_016,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_016,dataset_rejected\flyball_v2_20260727\batch_01\F_016
F_017,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_017,dataset_rejected\flyball_v2_20260727\batch_01\F_017
F_018,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_018,dataset_rejected\flyball_v2_20260727\batch_01\F_018
F_019,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_019,dataset_rejected\flyball_v2_20260727\batch_01\F_019
F_020,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_020,dataset_rejected\flyball_v2_20260727\batch_01\F_020
F_021,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_021,dataset_rejected\flyball_v2_20260727\batch_01\F_021
F_022,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_022,dataset_rejected\flyball_v2_20260727\batch_01\F_022
F_023,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_023,dataset_rejected\flyball_v2_20260727\batch_01\F_023
F_024,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_024,dataset_rejected\flyball_v2_20260727\batch_01\F_024
F_025,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_025,dataset_rejected\flyball_v2_20260727\batch_01\F_025
F_026,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_026,dataset_rejected\flyball_v2_20260727\batch_01\F_026
F_027,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_027,dataset_rejected\flyball_v2_20260727\batch_01\F_027
F_028,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_028,dataset_rejected\flyball_v2_20260727\batch_01\F_028
F_029,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_029,dataset_rejected\flyball_v2_20260727\batch_01\F_029
F_030,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_030,dataset_rejected\flyball_v2_20260727\batch_01\F_030
F_031,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_031,dataset_rejected\flyball_v2_20260727\batch_01\F_031
F_032,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_032,dataset_rejected\flyball_v2_20260727\batch_01\F_032
F_033,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_033,dataset_rejected\flyball_v2_20260727\batch_01\F_033
