"sample_id","status","reason","old_path","new_path"
"F_042","manual_reject","The swing is visible, but the contact interval has no distinct broadband contact transient in the spectrogram and the local ratio is 0.84; unsuitable for the contact-sound dataset.","dataset\fly_ball\Codex_Workstation\F_042","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_042"
"F_047","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_047","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_047"
"F_050","manual_reject","Visible swing is present but no clear short contact transient exists near the collision; unsuitable for contact-sound dataset.","dataset\fly_ball\Codex_Workstation\F_050","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_050"
"F_051","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_051","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_051"
"F_053","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_053","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_053"
"F_057","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_057","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_057"
"F_058","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_058","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_058"
"F_060","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_060","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_060"
"F_063","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_063","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_063"
"F_064","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_064","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_064"
"F_067","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_067","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_067"
"F_072","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_072","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_072"
"F_075","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_075","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_075"
"F_076","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_076","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_076"
"F_077","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_077","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_077"
"F_078","manual_reject","The clip begins after the actual collision; 25 fps review around the apparent 1.17 s audio peak and the labeled 2.32-2.42 s interval shows only follow-through or a camera cut, so contact is absent.","dataset\fly_ball\Codex_Workstation\F_078","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_078"
"F_079","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_079","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_079"
"F_080","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_080","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_080"
"F_082","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_082","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_082"
"F_083","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_083","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_083"
"F_084","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_084","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_084"
"F_086","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_086","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_086"
"F_087","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_087","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_087"
"F_088","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_088","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_088"
"F_089","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_089","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_089"
"F_091","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_091","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_091"
"F_092","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_092","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_092"
"F_093","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_093","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_093"
"F_095","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_095","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_095"
"F_096","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_096","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_096"
"F_097","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_097","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_097"
"F_098","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_098","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_098"
"F_099","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_099","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_099"
"F_100","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_100","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_100"
"F_101","manual_review","foundational audio-visual evidence gate failed","dataset\fly_ball\Codex_Workstation\F_101","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_101"
"F_102","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_102","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_102"
"F_104","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_104","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_104"
"F_105","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_105","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_105"
"F_106","manual_review","adjudication evidence gate failed","dataset\fly_ball\Codex_Workstation\F_106","dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_106"
