sample_id,sample_path,status,audio_ratio,changed_fields,old_values,new_values,reason
F_042,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_042,manual_reject,,,{},{},"The swing is visible, but the contact interval has no distinct broadband contact transient in the spectrogram and the local ratio is 0.84; unsuitable for the contact-sound dataset."
F_047,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_047,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_050,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_050,manual_reject,,,{},{},Visible swing is present but no clear short contact transient exists near the collision; unsuitable for contact-sound dataset.
F_051,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_051,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_053,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_053,auto_applied,,"event_start,event_end","{""event_end"": ""1.560"", ""event_start"": ""1.460""}","{""event_end"": ""2.180"", ""event_start"": ""2.100""}",field-level evidence applied; unverified secondary fields retained
F_057,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_057,auto_applied,,"event_start,event_end","{""event_end"": ""3.380"", ""event_start"": ""3.280""}","{""event_end"": ""3.420"", ""event_start"": ""3.270""}",field-level evidence applied; unverified secondary fields retained
F_058,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_058,auto_applied,,"event_start,event_end","{""event_end"": ""2.340"", ""event_start"": ""2.240""}","{""event_end"": ""2.330"", ""event_start"": ""2.230""}",field-level evidence applied; unverified secondary fields retained
F_060,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_060,auto_applied,,"landing_zone,trajectory_type,event_start,event_end","{""event_end"": ""3.460"", ""event_start"": ""3.360"", ""landing_zone"": ""6"", ""trajectory_type"": ""fly""}","{""event_end"": ""3.420"", ""event_start"": ""3.380"", ""landing_zone"": ""7"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_063,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_063,auto_applied,,"event_start,event_end","{""event_end"": ""2.300"", ""event_start"": ""2.200""}","{""event_end"": ""2.350"", ""event_start"": ""2.210""}",field-level evidence applied; unverified secondary fields retained
F_064,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_064,auto_applied,,"event_start,event_end","{""event_end"": ""4.860"", ""event_start"": ""4.760""}","{""event_end"": ""4.920"", ""event_start"": ""4.770""}",field-level evidence applied; unverified secondary fields retained
F_067,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_067,auto_applied,,trajectory_type,"{""trajectory_type"": ""fly""}","{""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_072,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_072,auto_applied,,"event_start,event_end","{""event_end"": ""3.600"", ""event_start"": ""3.500""}","{""event_end"": ""3.620"", ""event_start"": ""3.480""}",field-level evidence applied; unverified secondary fields retained
F_075,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_075,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_076,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_076,auto_applied,,"event_start,event_end","{""event_end"": ""2.080"", ""event_start"": ""1.980""}","{""event_end"": ""2.070"", ""event_start"": ""1.970""}",field-level evidence applied; unverified secondary fields retained
F_077,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_077,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_078,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_078,manual_reject,,,{},{},"The clip begins after the actual collision; 25 fps review around the apparent 1.17 s audio peak and the labeled 2.32-2.42 s interval shows only follow-through or a camera cut, so contact is absent."
F_079,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_079,auto_applied,,"trajectory_type,event_start,event_end","{""event_end"": ""2.700"", ""event_start"": ""2.600"", ""trajectory_type"": ""fly""}","{""event_end"": ""2.760"", ""event_start"": ""2.610"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_080,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_080,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""2.140"", ""event_start"": ""2.040"", ""landing_zone"": ""4""}","{""event_end"": ""2.120"", ""event_start"": ""2.050"", ""landing_zone"": ""8""}",field-level evidence applied; unverified secondary fields retained
F_082,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_082,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_083,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_083,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_084,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_084,auto_applied,,"landing_zone,strength","{""landing_zone"": ""4"", ""strength"": ""medium""}","{""landing_zone"": ""8"", ""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_086,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_086,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""1.280"", ""event_start"": ""1.180"", ""landing_zone"": ""4""}","{""event_end"": ""1.270"", ""event_start"": ""1.170"", ""landing_zone"": ""7""}",field-level evidence applied; unverified secondary fields retained
F_087,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_087,auto_applied,,"event_start,event_end","{""event_end"": ""4.800"", ""event_start"": ""4.700""}","{""event_end"": ""4.280"", ""event_start"": ""4.180""}",field-level evidence applied; unverified secondary fields retained
F_088,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_088,auto_applied,,event_end,"{""event_end"": ""1.580""}","{""event_end"": ""1.620""}",field-level evidence applied; unverified secondary fields retained
F_089,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_089,permissive_reject,,,{},{},one review stage explicitly found the sample unusable
F_091,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_091,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_092,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_092,auto_applied,,"event_start,event_end","{""event_end"": ""1.800"", ""event_start"": ""1.700""}","{""event_end"": ""1.805"", ""event_start"": ""1.705""}",field-level evidence applied; unverified secondary fields retained
F_093,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_093,auto_applied,,landing_zone,"{""landing_zone"": ""3""}","{""landing_zone"": ""7""}",field-level evidence applied; unverified secondary fields retained
F_095,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_095,auto_applied,,"event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400""}","{""event_end"": ""3.490"", ""event_start"": ""3.390""}",field-level evidence applied; unverified secondary fields retained
F_096,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_096,auto_applied,,"event_start,event_end","{""event_end"": ""1.660"", ""event_start"": ""1.560""}","{""event_end"": ""1.420"", ""event_start"": ""1.350""}",field-level evidence applied; unverified secondary fields retained
F_097,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_097,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_098,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_098,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_099,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_099,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""3.300"", ""event_start"": ""3.200"", ""landing_zone"": ""7""}","{""event_end"": ""3.326"", ""event_start"": ""3.226"", ""landing_zone"": ""9""}",field-level evidence applied; unverified secondary fields retained
F_100,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_100,auto_applied,,"event_start,event_end","{""event_end"": ""3.380"", ""event_start"": ""3.280""}","{""event_end"": ""2.500"", ""event_start"": ""2.400""}",field-level evidence applied; unverified secondary fields retained
F_101,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_101,auto_applied,,"landing_zone,strength,event_end","{""event_end"": ""1.380"", ""landing_zone"": ""4"", ""strength"": ""medium""}","{""event_end"": ""1.430"", ""landing_zone"": ""2"", ""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_102,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_102,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_104,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_104,auto_applied,,trajectory_type,"{""trajectory_type"": ""fly""}","{""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_105,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_105,auto_applied,,"landing_zone,trajectory_type,event_start,event_end","{""event_end"": ""0.920"", ""event_start"": ""0.820"", ""landing_zone"": ""7"", ""trajectory_type"": ""fly""}","{""event_end"": ""0.930"", ""event_start"": ""0.830"", ""landing_zone"": ""8"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_106,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_106,auto_applied,,event_end,"{""event_end"": ""1.880""}","{""event_end"": ""1.820""}",field-level evidence applied; unverified secondary fields retained
F_107,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_107,auto_applied,,"strength,trajectory_type,event_start,event_end","{""event_end"": ""3.000"", ""event_start"": ""2.900"", ""strength"": ""medium"", ""trajectory_type"": ""fly""}","{""event_end"": ""2.590"", ""event_start"": ""2.490"", ""strength"": ""high"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_108,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_108,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_110,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_110,auto_applied,,landing_zone,"{""landing_zone"": ""6""}","{""landing_zone"": ""8""}",field-level evidence applied; unverified secondary fields retained
F_111,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_111,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_112,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_112,auto_applied,,"landing_zone,strength,trajectory_type","{""landing_zone"": ""6"", ""strength"": ""medium"", ""trajectory_type"": ""fly""}","{""landing_zone"": ""3"", ""strength"": ""low"", ""trajectory_type"": ""pop_fly""}",field-level evidence applied; unverified secondary fields retained
F_113,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_113,auto_applied,,"landing_zone,trajectory_type","{""landing_zone"": ""7"", ""trajectory_type"": ""fly""}","{""landing_zone"": ""1"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_114,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_114,auto_applied,,"event_start,event_end","{""event_end"": ""2.260"", ""event_start"": ""2.160""}","{""event_end"": ""2.220"", ""event_start"": ""2.180""}",field-level evidence applied; unverified secondary fields retained
F_115,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_115,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_116,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_116,auto_applied,,"landing_zone,trajectory_type,event_start,event_end","{""event_end"": ""1.000"", ""event_start"": ""0.900"", ""landing_zone"": ""5"", ""trajectory_type"": ""fly""}","{""event_end"": ""0.630"", ""event_start"": ""0.530"", ""landing_zone"": ""8"", ""trajectory_type"": ""pop_fly""}",field-level evidence applied; unverified secondary fields retained
F_117,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_117,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_118,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_118,auto_applied,,trajectory_type,"{""trajectory_type"": ""fly""}","{""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_120,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_120,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_121,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_121,auto_applied,,"strength,trajectory_type","{""strength"": ""high"", ""trajectory_type"": ""fly""}","{""strength"": ""low"", ""trajectory_type"": ""pop_fly""}",field-level evidence applied; unverified secondary fields retained
F_123,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_123,auto_applied,,"event_start,event_end","{""event_end"": ""0.860"", ""event_start"": ""0.760""}","{""event_end"": ""0.830"", ""event_start"": ""0.730""}",field-level evidence applied; unverified secondary fields retained
F_124,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_124,auto_applied,,"event_start,event_end","{""event_end"": ""2.780"", ""event_start"": ""2.680""}","{""event_end"": ""2.770"", ""event_start"": ""2.670""}",field-level evidence applied; unverified secondary fields retained
F_125,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_125,auto_applied,,"strength,trajectory_type,event_start,event_end","{""event_end"": ""3.080"", ""event_start"": ""2.980"", ""strength"": ""medium"", ""trajectory_type"": ""fly""}","{""event_end"": ""2.630"", ""event_start"": ""2.530"", ""strength"": ""high"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_126,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_126,permissive_reject,,,{},{},one review stage explicitly found the sample unusable
F_127,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_127,auto_applied,,landing_zone,"{""landing_zone"": ""7""}","{""landing_zone"": ""8""}",field-level evidence applied; unverified secondary fields retained
G_002,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_002,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_003,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_003,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_005,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_005,auto_applied,,"event_start,event_end","{""event_end"": ""1.860"", ""event_start"": ""1.760""}","{""event_end"": ""1.870"", ""event_start"": ""1.770""}",field-level evidence applied; unverified secondary fields retained
G_007,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_007,auto_applied,,"event_start,event_end","{""event_end"": ""1.000"", ""event_start"": ""0.900""}","{""event_end"": ""0.700"", ""event_start"": ""0.620""}",field-level evidence applied; unverified secondary fields retained
G_008,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_008,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_010,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_010,auto_applied,,"event_start,event_end","{""event_end"": ""1.040"", ""event_start"": ""0.940""}","{""event_end"": ""1.070"", ""event_start"": ""0.920""}",field-level evidence applied; unverified secondary fields retained
G_011,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_011,permissive_reject,,,{},{},one review stage explicitly found the sample unusable
G_013,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_013,auto_applied,,"event_start,event_end","{""event_end"": ""1.000"", ""event_start"": ""0.900""}","{""event_end"": ""1.010"", ""event_start"": ""0.910""}",field-level evidence applied; unverified secondary fields retained
G_014,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_014,auto_applied,,"event_start,event_end","{""event_end"": ""2.040"", ""event_start"": ""1.940""}","{""event_end"": ""2.030"", ""event_start"": ""1.930""}",field-level evidence applied; unverified secondary fields retained
G_015,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_015,auto_applied,,"event_start,event_end","{""event_end"": ""2.680"", ""event_start"": ""2.580""}","{""event_end"": ""2.690"", ""event_start"": ""2.590""}",field-level evidence applied; unverified secondary fields retained
G_017,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_017,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_018,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_018,auto_applied,,region,"{""region"": ""4""}","{""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
G_019,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_019,auto_applied,,"event_start,event_end","{""event_end"": ""1.040"", ""event_start"": ""0.940""}","{""event_end"": ""1.010"", ""event_start"": ""0.970""}",field-level evidence applied; unverified secondary fields retained
G_020,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_020,auto_applied,,"event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400""}","{""event_end"": ""3.530"", ""event_start"": ""3.390""}",field-level evidence applied; unverified secondary fields retained
G_021,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_021,auto_applied,,"region,strength","{""region"": ""3"", ""strength"": ""medium""}","{""region"": ""2"", ""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
G_022,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_022,auto_applied,,"event_start,event_end","{""event_end"": ""1.340"", ""event_start"": ""1.240""}","{""event_end"": ""1.380"", ""event_start"": ""1.230""}",field-level evidence applied; unverified secondary fields retained
G_023,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_023,auto_applied,,"region,event_start,event_end","{""event_end"": ""0.860"", ""event_start"": ""0.760"", ""region"": ""3""}","{""event_end"": ""0.850"", ""event_start"": ""0.750"", ""region"": ""4""}",field-level evidence applied; unverified secondary fields retained
G_024,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_024,auto_applied,,"event_start,event_end","{""event_end"": ""2.180"", ""event_start"": ""2.080""}","{""event_end"": ""2.170"", ""event_start"": ""2.070""}",field-level evidence applied; unverified secondary fields retained
G_025,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_025,auto_applied,,"event_start,event_end","{""event_end"": ""3.600"", ""event_start"": ""3.500""}","{""event_end"": ""3.580"", ""event_start"": ""3.520""}",field-level evidence applied; unverified secondary fields retained
G_026,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_026,auto_applied,,"event_start,event_end","{""event_end"": ""2.640"", ""event_start"": ""2.540""}","{""event_end"": ""2.650"", ""event_start"": ""2.550""}",field-level evidence applied; unverified secondary fields retained
G_027,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_027,auto_applied,,"event_start,event_end","{""event_end"": ""1.560"", ""event_start"": ""1.460""}","{""event_end"": ""1.620"", ""event_start"": ""1.470""}",field-level evidence applied; unverified secondary fields retained
G_028,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_028,auto_applied,,"event_start,event_end","{""event_end"": ""1.560"", ""event_start"": ""1.460""}","{""event_end"": ""1.550"", ""event_start"": ""1.450""}",field-level evidence applied; unverified secondary fields retained
G_029,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_029,auto_applied,,region,"{""region"": ""3""}","{""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
G_030,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_030,auto_applied,,"event_start,event_end","{""event_end"": ""1.820"", ""event_start"": ""1.720""}","{""event_end"": ""1.830"", ""event_start"": ""1.730""}",field-level evidence applied; unverified secondary fields retained
G_031,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_031,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_032,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_032,auto_applied,,"event_start,event_end","{""event_end"": ""1.880"", ""event_start"": ""1.780""}","{""event_end"": ""1.870"", ""event_start"": ""1.770""}",field-level evidence applied; unverified secondary fields retained
G_033,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_033,permissive_reject,,,{},{},one review stage explicitly found the sample unusable
G_038,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_038,auto_applied,,region,"{""region"": ""4""}","{""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
G_039,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_039,auto_applied,,"event_start,event_end","{""event_end"": ""2.520"", ""event_start"": ""2.420""}","{""event_end"": ""2.510"", ""event_start"": ""2.410""}",field-level evidence applied; unverified secondary fields retained
G_040,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_040,auto_applied,,"event_start,event_end","{""event_end"": ""3.580"", ""event_start"": ""3.480""}","{""event_end"": ""3.620"", ""event_start"": ""3.470""}",field-level evidence applied; unverified secondary fields retained
G_041,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_041,auto_applied,,"event_start,event_end","{""event_end"": ""1.060"", ""event_start"": ""0.960""}","{""event_end"": ""1.070"", ""event_start"": ""0.970""}",field-level evidence applied; unverified secondary fields retained
G_042,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_042,auto_applied,,"event_start,event_end","{""event_end"": ""3.460"", ""event_start"": ""3.360""}","{""event_end"": ""3.420"", ""event_start"": ""3.380""}",field-level evidence applied; unverified secondary fields retained
G_043,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_043,auto_applied,,"region,event_start,event_end","{""event_end"": ""0.770"", ""event_start"": ""0.670"", ""region"": ""3""}","{""event_end"": ""0.660"", ""event_start"": ""0.580"", ""region"": ""1""}",field-level evidence applied; unverified secondary fields retained
G_045,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_045,auto_applied,,region,"{""region"": ""4""}","{""region"": ""3""}",field-level evidence applied; unverified secondary fields retained
G_046,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_046,auto_applied,,region,"{""region"": ""3""}","{""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
G_047,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_047,auto_applied,,"event_start,event_end","{""event_end"": ""3.540"", ""event_start"": ""3.440""}","{""event_end"": ""3.580"", ""event_start"": ""3.430""}",field-level evidence applied; unverified secondary fields retained
G_049,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_049,auto_applied,,"event_start,event_end","{""event_end"": ""2.820"", ""event_start"": ""2.720""}","{""event_end"": ""2.810"", ""event_start"": ""2.710""}",field-level evidence applied; unverified secondary fields retained
G_050,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_050,auto_applied,,"event_start,event_end","{""event_end"": ""2.220"", ""event_start"": ""2.120""}","{""event_end"": ""2.230"", ""event_start"": ""2.130""}",field-level evidence applied; unverified secondary fields retained
G_051,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_051,auto_applied,,"event_start,event_end","{""event_end"": ""1.260"", ""event_start"": ""1.160""}","{""event_end"": ""1.220"", ""event_start"": ""1.180""}",field-level evidence applied; unverified secondary fields retained
G_052,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_052,auto_applied,,"event_start,event_end","{""event_end"": ""4.340"", ""event_start"": ""4.240""}","{""event_end"": ""3.640"", ""event_start"": ""3.540""}",field-level evidence applied; unverified secondary fields retained
G_053,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_053,auto_applied,,region,"{""region"": ""3""}","{""region"": ""4""}",field-level evidence applied; unverified secondary fields retained
G_055,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_055,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
G_056,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_056,auto_applied,,region,"{""region"": ""3""}","{""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
G_057,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_057,auto_applied,,"event_start,event_end","{""event_end"": ""2.340"", ""event_start"": ""2.240""}","{""event_end"": ""2.330"", ""event_start"": ""2.230""}",field-level evidence applied; unverified secondary fields retained
G_059,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_059,auto_applied,,"event_start,event_end","{""event_end"": ""2.700"", ""event_start"": ""2.600""}","{""event_end"": ""1.870"", ""event_start"": ""1.770""}",field-level evidence applied; unverified secondary fields retained
G_060,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_060,auto_applied,,"event_start,event_end","{""event_end"": ""1.460"", ""event_start"": ""1.360""}","{""event_end"": ""1.420"", ""event_start"": ""1.380""}",field-level evidence applied; unverified secondary fields retained
G_061,dataset_rejected\qwen_auto_qc_20260713\dataset\ground_ball\Codex_Workstation\G_061,auto_applied,,"region,event_start,event_end","{""event_end"": ""1.320"", ""event_start"": ""1.220"", ""region"": ""4""}","{""event_end"": ""1.500"", ""event_start"": ""1.433"", ""region"": ""2""}",field-level evidence applied; unverified secondary fields retained
