dataset_path,sample_id,label,collector,verification_source,verification_detail,contact_time,timing_was_corrected,original_event_start,original_event_end,final_event_start,final_event_end
dataset/fly_ball/Codex_Workstation/F_0101,F_0101,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.338417,N,1.28,1.43,1.280,1.430
dataset/fly_ball/Codex_Workstation/F_0102,F_0102,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.408966,Y,2.675,2.775,1.358966,1.458966
dataset/fly_ball/Codex_Workstation/F_0103,F_0103,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.459569,N,1.405,1.505,1.405,1.505
dataset/fly_ball/Codex_Workstation/F_0104,F_0104,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.013896,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0105,F_0105,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.885146,N,0.835,0.935,0.835,0.935
dataset/fly_ball/Codex_Workstation/F_0106,F_0106,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.830862,N,1.785,1.885,1.785,1.885
dataset/fly_ball/Codex_Workstation/F_0107,F_0107,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.942161,Y,2.49,2.59,2.892161,2.992161
dataset/fly_ball/Codex_Workstation/F_0108,F_0108,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.846553,N,0.795,0.895,0.795,0.895
dataset/fly_ball/Codex_Workstation/F_0109,F_0109,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,0.345608,Y,1.965,2.065,0.295608,0.395608
dataset/fly_ball/Codex_Workstation/F_0110,F_0110,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.199695,Y,1.965,2.065,1.149695,1.249695
dataset/fly_ball/Codex_Workstation/F_0111,F_0111,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.713104,N,1.66,1.76,1.660,1.760
dataset/fly_ball/Codex_Workstation/F_0112,F_0112,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.358209,N,1.315,1.415,1.315,1.415
dataset/fly_ball/Codex_Workstation/F_0113,F_0113,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.736375,N,1.68,1.78,1.680,1.780
dataset/fly_ball/Codex_Workstation/F_0114,F_0114,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.253027,Y,1.855,1.955,1.203027,1.303027
dataset/fly_ball/Codex_Workstation/F_0115,F_0115,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.851208,N,0.8,0.9,0.800,0.900
dataset/fly_ball/Codex_Workstation/F_0116,F_0116,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.941995,N,0.895,0.995,0.895,0.995
dataset/fly_ball/Codex_Workstation/F_0117,F_0117,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.876871,N,1.825,1.925,1.825,1.925
dataset/fly_ball/Codex_Workstation/F_0118,F_0118,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.153,N,2.1,2.2,2.100,2.200
dataset/fly_ball/Codex_Workstation/F_0119,F_0119,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.881851,Y,2.34,2.44,2.831851,2.931851
dataset/fly_ball/Codex_Workstation/F_0120,F_0120,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,0.113378,Y,1.955,2.055,0.063378,0.163378
dataset/fly_ball/Codex_Workstation/F_0121,F_0121,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.43,N,1.385,1.485,1.385,1.485
dataset/fly_ball/Codex_Workstation/F_0123,F_0123,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.805692,N,0.755,0.855,0.755,0.855
dataset/fly_ball/Codex_Workstation/F_0124,F_0124,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.990839,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0125,F_0125,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,3.036958,N,2.98,3.08,2.980,3.080
dataset/fly_ball/Codex_Workstation/F_0127,F_0127,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.362154,N,1.315,1.415,1.315,1.415
